 Total Nb of available Diagnostics: ndiagt=   242
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   174 |Vm_AdvRe|200 |   173 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   175 |ADVx_Um |200 |   176 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   176 |ADVy_Um |200 |   175 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   177 |ADVrE_Um|200 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   178 |ADVx_Vm |200 |   179 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   179 |ADVy_Vm |200 |   178 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   180 |ADVrE_Vm|200 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   181 |VISCx_Um|200 |   182 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   182 |VISCy_Um|200 |   181 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   183 |VISrE_Um|200 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   184 |VISrI_Um|200 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   185 |VISCx_Vm|200 |   186 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   186 |VISCy_Vm|200 |   185 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   187 |VISrE_Vm|200 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   188 |VISrI_Vm|200 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   189 |TRAC01  |200 |       |SMR     MR|mol/m^3         |Passive Tracer [mol C/m^3] concentration
   190 |UTRAC01 |200 |   191 |UUr     MR|mol/m^3.m/s     |Zonal Mass-Weighted Transp of cBBTRE
   191 |VTRAC01 |200 |   190 |VVr     MR|mol/m^3.m/s     |Merid Mass-Weighted Transp of cBBTRE
   192 |WTRAC01 |200 |       |WM      MR|mol/m^3.m/s     |Vert  Mass-Weighted Transp of cBBTRE
   193 |ForcTr01|200 |       |SMR     MR|mol/m^3/s       |cBBTRE forcing tendency
   194 |AB_gTr01|200 |       |SMR     MR|mol/m^3/s       |cBBTRE tendency from Adams-Bashforth
   195 |Tp_gTr01|200 |       |SMR     MR|mol/m^3/s       |cBBTRE total transport tendency (before gchem_forcing_sep)
   196 |ADVrTr01|200 |       |WM      LR|mol/m^3.m^3/s   |Vertical   Advective Flux of cBBTRE
   197 |ADVxTr01|200 |   198 |UU      MR|mol/m^3.m^3/s   |Zonal      Advective Flux of cBBTRE
   198 |ADVyTr01|200 |   197 |VV      MR|mol/m^3.m^3/s   |Meridional Advective Flux of cBBTRE
   199 |DFrETr01|200 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of cBBTRE (Explicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |DFxETr01|200 |   201 |UU      MR|mol/m^3.m^3/s   |Zonal      Diffusive Flux of cBBTRE
   201 |DFyETr01|200 |   200 |VV      MR|mol/m^3.m^3/s   |Meridional Diffusive Flux of cBBTRE
   202 |DFrITr01|200 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of cBBTRE (Implicit part)
   203 |TRAC02  |200 |       |SMR     MR|mol/m^3         |Passive Tracer [mol C/m^3] concentration
   204 |UTRAC02 |200 |   205 |UUr     MR|mol/m^3.m/s     |Zonal Mass-Weighted Transp of cCrest
   205 |VTRAC02 |200 |   204 |VVr     MR|mol/m^3.m/s     |Merid Mass-Weighted Transp of cCrest
   206 |WTRAC02 |200 |       |WM      MR|mol/m^3.m/s     |Vert  Mass-Weighted Transp of cCrest
   207 |ForcTr02|200 |       |SMR     MR|mol/m^3/s       |cCrest forcing tendency
   208 |AB_gTr02|200 |       |SMR     MR|mol/m^3/s       |cCrest tendency from Adams-Bashforth
   209 |Tp_gTr02|200 |       |SMR     MR|mol/m^3/s       |cCrest total transport tendency (before gchem_forcing_sep)
   210 |ADVrTr02|200 |       |WM      LR|mol/m^3.m^3/s   |Vertical   Advective Flux of cCrest
   211 |ADVxTr02|200 |   212 |UU      MR|mol/m^3.m^3/s   |Zonal      Advective Flux of cCrest
   212 |ADVyTr02|200 |   211 |VV      MR|mol/m^3.m^3/s   |Meridional Advective Flux of cCrest
   213 |DFrETr02|200 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of cCrest (Explicit part)
   214 |DFxETr02|200 |   215 |UU      MR|mol/m^3.m^3/s   |Zonal      Diffusive Flux of cCrest
   215 |DFyETr02|200 |   214 |VV      MR|mol/m^3.m^3/s   |Meridional Diffusive Flux of cCrest
   216 |DFrITr02|200 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of cCrest (Implicit part)
   217 |TRAC03  |200 |       |SMR     MR|mol/m^3         |Passive Tracer [mol C/m^3] concentration
   218 |UTRAC03 |200 |   219 |UUr     MR|mol/m^3.m/s     |Zonal Mass-Weighted Transp of cBottom
   219 |VTRAC03 |200 |   218 |VVr     MR|mol/m^3.m/s     |Merid Mass-Weighted Transp of cBottom
   220 |WTRAC03 |200 |       |WM      MR|mol/m^3.m/s     |Vert  Mass-Weighted Transp of cBottom
   221 |ForcTr03|200 |       |SMR     MR|mol/m^3/s       |cBottom forcing tendency
   222 |AB_gTr03|200 |       |SMR     MR|mol/m^3/s       |cBottom tendency from Adams-Bashforth
   223 |Tp_gTr03|200 |       |SMR     MR|mol/m^3/s       |cBottom total transport tendency (before gchem_forcing_sep)
   224 |ADVrTr03|200 |       |WM      LR|mol/m^3.m^3/s   |Vertical   Advective Flux of cBottom
   225 |ADVxTr03|200 |   226 |UU      MR|mol/m^3.m^3/s   |Zonal      Advective Flux of cBottom
   226 |ADVyTr03|200 |   225 |VV      MR|mol/m^3.m^3/s   |Meridional Advective Flux of cBottom
   227 |DFrETr03|200 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of cBottom (Explicit part)
   228 |DFxETr03|200 |   229 |UU      MR|mol/m^3.m^3/s   |Zonal      Diffusive Flux of cBottom
   229 |DFyETr03|200 |   228 |VV      MR|mol/m^3.m^3/s   |Meridional Diffusive Flux of cBottom
   230 |DFrITr03|200 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of cBottom (Implicit part)
   231 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
   232 |MYPaSta1|200 |       |SM      MR|unit            |Scalar state variable 1 for package MYPACKAGE
   233 |MYPaSta2|200 |       |SM      MR|unit            |Scalar state variable 2 for package MYPACKAGE
   234 |MYPaStaU|200 |   235 |UU      MR|unit            |uVel-type state variable for package MYPACKAGE
   235 |MYPaStaV|200 |   234 |VV      MR|unit            |vVel-type state variable for package MYPACKAGE
   236 |MYPaSur1|  1 |       |SM      L1|unit            |Surface field 1 for package MYPACKAGE
   237 |MYPaSur2|  1 |       |SM      L1|unit            |Surface field 2 for package MYPACKAGE
   238 |MYPadTdt|200 |       |SMR     MR|K/s             | Pot.Temp. tendency from package MYPACKAGE
   239 |MYPadSdt|200 |       |SMR     MR|psu/s           | Salinity  tendency from package MYPACKAGE
   240 |MYPadUdt|200 |   241 |UUR     MR|m/s^2           |u-Velocity tendency from package MYPACKAGE
   241 |MYPadVdt|200 |   240 |VVR     MR|m/s^2           |v-Velocity tendency from package MYPACKAGE
   242 |MYPaLev3|  3 |       |SM      MX|unit            |3-levels field for package MYPACKAGE
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
